seqnames	start	end	score	Type	Group
chr4	61743001	61744000	17	tumor	tumor
chr4	61744001	61745000	14	tumor	tumor
chr4	61745001	61746000	13	tumor	tumor
chr4	61746001	61747000	16	tumor	tumor
chr4	61747001	61748000	25	tumor	tumor
chr4	61748001	61749000	24	tumor	tumor
chr4	61749001	61750000	17	tumor	tumor
chr4	61750001	61751000	23	tumor	tumor
chr4	61751001	61752000	14	tumor	tumor
chr4	61752001	61753000	22	tumor	tumor
chr4	61753001	61754000	21	tumor	tumor
chr4	61754001	61755000	19	tumor	tumor
chr4	61755001	61756000	21	tumor	tumor
chr4	61756001	61757000	11	tumor	tumor
chr4	61757001	61758000	16	tumor	tumor
chr4	61758001	61759000	17	tumor	tumor
chr4	61759001	61760000	13	tumor	tumor
chr4	61760001	61761000	19	tumor	tumor
chr4	61761001	61762000	23	tumor	tumor
chr4	61762001	61763000	23	tumor	tumor
chr4	61763001	61764000	15	tumor	tumor
chr4	61764001	61765000	20	tumor	tumor
chr4	61765001	61766000	24	tumor	tumor
chr4	61766001	61767000	16	tumor	tumor
chr4	61767001	61768000	17	tumor	tumor
chr4	61768001	61769000	30	tumor	tumor
chr4	61769001	61770000	22	tumor	tumor
chr4	61770001	61771000	26	tumor	tumor
chr4	61771001	61772000	30	tumor	tumor
chr4	61772001	61773000	28	tumor	tumor
chr4	61773001	61774000	15	tumor	tumor
chr4	61774001	61775000	16	tumor	tumor
chr4	61775001	61776000	31	tumor	tumor
chr4	61776001	61777000	19	tumor	tumor
chr4	61777001	61778000	21	tumor	tumor
chr4	61778001	61779000	24	tumor	tumor
chr4	61779001	61780000	16	tumor	tumor
chr4	61780001	61781000	19	tumor	tumor
chr4	61781001	61782000	14	tumor	tumor
chr4	61782001	61783000	13	tumor	tumor
chr4	61783001	61784000	7	tumor	tumor
chr4	61784001	61785000	5	tumor	tumor
chr4	61785001	61786000	13	tumor	tumor
chr4	61786001	61787000	20	tumor	tumor
chr4	61787001	61788000	9	tumor	tumor
chr4	61788001	61789000	17	tumor	tumor
chr4	61789001	61790000	14	tumor	tumor
chr4	61790001	61791000	16	tumor	tumor
chr4	61791001	61792000	12	tumor	tumor
chr4	61792001	61793000	17	tumor	tumor
chr4	61793001	61794000	24	tumor	tumor
chr4	61794001	61795000	12	tumor	tumor
chr4	61795001	61796000	15	tumor	tumor
chr4	61796001	61797000	24	tumor	tumor
chr4	61797001	61798000	18	tumor	tumor
chr4	61798001	61799000	16	tumor	tumor
chr4	61799001	61800000	15	tumor	tumor
chr4	61800001	61801000	14	tumor	tumor
chr4	61801001	61802000	12	tumor	tumor
chr4	61802001	61803000	21	tumor	tumor
chr4	61803001	61804000	23	tumor	tumor
chr4	61804001	61805000	28	tumor	tumor
chr4	61805001	61806000	18	tumor	tumor
chr4	61806001	61807000	13	tumor	tumor
chr4	61807001	61808000	24	tumor	tumor
chr4	61808001	61809000	24	tumor	tumor
chr4	61809001	61810000	21	tumor	tumor
chr4	61810001	61811000	18	tumor	tumor
chr4	61811001	61812000	18	tumor	tumor
chr4	61812001	61813000	18	tumor	tumor
chr4	61813001	61814000	7	tumor	tumor
chr4	61814001	61815000	19	tumor	tumor
chr4	61815001	61816000	18	tumor	tumor
chr4	61816001	61817000	20	tumor	tumor
chr4	61817001	61818000	18	tumor	tumor
chr4	61818001	61819000	24	tumor	tumor
chr4	61819001	61820000	19	tumor	tumor
chr4	61820001	61821000	18	tumor	tumor
chr4	61821001	61822000	20	tumor	tumor
chr4	61822001	61823000	22	tumor	tumor
chr4	61823001	61824000	22	tumor	tumor
chr4	61824001	61825000	28	tumor	tumor
chr4	61825001	61826000	12	tumor	tumor
chr4	61826001	61827000	14	tumor	tumor
chr4	61827001	61828000	17	tumor	tumor
chr4	61828001	61829000	20	tumor	tumor
chr4	61829001	61830000	13	tumor	tumor
chr4	61830001	61831000	14	tumor	tumor
chr4	61831001	61832000	17	tumor	tumor
chr4	61832001	61833000	22	tumor	tumor
chr4	61833001	61834000	18	tumor	tumor
chr4	61834001	61835000	11	tumor	tumor
chr4	61835001	61836000	22	tumor	tumor
chr4	61836001	61837000	24	tumor	tumor
chr4	61837001	61838000	23	tumor	tumor
chr4	61838001	61839000	11	tumor	tumor
chr4	61839001	61840000	23	tumor	tumor
chr4	61840001	61841000	11	tumor	tumor
chr4	61841001	61842000	8	tumor	tumor
chr4	61842001	61843000	28	tumor	tumor
chr4	61843001	61844000	56	tumor	tumor
chr4	61844001	61845000	50	tumor	tumor
chr4	61845001	61846000	47	tumor	tumor
chr4	61846001	61847000	71	tumor	tumor
chr4	61847001	61848000	55	tumor	tumor
chr4	61848001	61849000	38	tumor	tumor
chr4	61849001	61850000	71	tumor	tumor
chr4	61850001	61851000	73	tumor	tumor
chr4	61851001	61852000	61	tumor	tumor
chr4	61852001	61853000	75	tumor	tumor
chr4	61853001	61854000	57	tumor	tumor
chr4	61854001	61855000	75	tumor	tumor
chr4	61855001	61856000	86	tumor	tumor
chr4	61856001	61857000	85	tumor	tumor
chr4	61857001	61858000	78	tumor	tumor
chr4	61858001	61859000	72	tumor	tumor
chr4	61859001	61860000	83	tumor	tumor
chr4	61860001	61861000	57	tumor	tumor
chr4	61861001	61862000	90	tumor	tumor
chr4	61862001	61863000	58	tumor	tumor
chr4	61863001	61864000	81	tumor	tumor
chr4	61864001	61865000	71	tumor	tumor
chr4	61865001	61866000	72	tumor	tumor
chr4	61866001	61867000	73	tumor	tumor
chr4	61867001	61868000	84	tumor	tumor
chr4	61868001	61869000	92	tumor	tumor
chr4	61869001	61870000	60	tumor	tumor
chr4	61870001	61871000	82	tumor	tumor
chr4	61871001	61872000	65	tumor	tumor
chr4	61872001	61873000	77	tumor	tumor
chr4	61873001	61874000	76	tumor	tumor
chr4	61874001	61875000	77	tumor	tumor
chr4	61875001	61876000	68	tumor	tumor
chr4	61876001	61877000	77	tumor	tumor
chr4	61877001	61878000	51	tumor	tumor
